variable,label,description,units,role,how_created,paper_reference,example_values,notes
district_id,District ID,Unique identifier for the district (Kabupaten/Kota).,string,identifier,Assigned as <PROVINCE-ABBREV>_D<nn>; Aceh districts carry real names in district_name.,Sect. 2.1; Map 3,ACEH_D01; RIAU_D05,Stable key for panel merges.
district_name,District name,Name of the district. Real names for Aceh's 23 districts; systematic placeholders elsewhere.,string,identifier,Real Aceh district names hand-coded from Maps 2-3; other provinces use 'Province District k'.,Maps 2-3,Banda Aceh; Aceh Besar,Per user choice: real Aceh names + IDs elsewhere.
province,Province,Indonesian province the district belongs to.,string,identifier,"Hand-coded; 10 Sumatra provinces (Aceh, North Sumatra, and 8 'rest of Sumatra').",Sect. 2.3; Maps 3-4,Aceh; Riau,
region_group,Region group,Coarse grouping used to build estimation samples.,"{Aceh, North Sumatra, Rest of Sumatra}",identifier,"Derived from province: Aceh, North Sumatra, or Rest of Sumatra.",Maps 3-4,Aceh,North Sumatra enters only in robustness (Table 5).
district_type,District type,Kota (urban city district) vs Kabupaten (rural regency).,"{Kota, Kabupaten}",covariate,"Hand-coded to reproduce Table 7 city/rural sample sizes (Aceh: 5 Kota, 18 Kabupaten).",Table 7; fn. 11,Kota,2 of the 10 flooded Aceh districts are Kota.
coastal,Coastal dummy,"1 if the district lies on the coast, 0 if inland.",0/1,covariate,Hand-coded; all 10 treated districts are coastal. Used to drop inland controls (Table 6).,Table 6,1,Coastal control counts approximate the paper's robustness sample.
flooded,Flooded / treated dummy,Treatment indicator: 1 if the district was flooded by the 2004 tsunami.,0/1,treatment,Hand-coded from the inundation maps (10 Aceh + 2 North Sumatra island districts).,Sect. 2.2; Maps 2-4,1,The DiD 'D' variable.
neighbour_of_flooded,Neighbour-of-flooded dummy,1 if a non-flooded district borders a flooded one (placebo-treated in Table 9).,0/1,treatment,Hand-coded adjacency for the placebo test; flooded districts are dropped in that test.,Table 9,1,Used only for the placebo difference-in-differences.
flood_treatment_group,Treatment-group label,Readable label combining treatment status and region.,category,identifier,Derived from flooded + region_group.,Maps 3-4,Treated (flooded),Convenience for selecting control pools.
latitude,Latitude,"District-centroid latitude (decimal degrees, +N).",degrees,identifier,Real approximate centroids for Aceh's 23 districts; drawn within the real province bounding box for synthetic non-Aceh districts.,Eq. (1) note (Conley SEs),5.55,Enables Conley spatial standard errors (≤100 km). Time-invariant.
longitude,Longitude,"District-centroid longitude (decimal degrees, +E).",degrees,identifier,See latitude. Used with latitude for haversine distances.,Eq. (1) note (Conley SEs),95.32,Time-invariant; see script 06.
year,Year,Calendar year of the observation.,year,identifier,Panel spans 1999-2012 (levels).,Sect. 3; Fig. 2,2005,Growth rates defined 2000-2012.
post,Post-tsunami dummy,1 for years 2005 and later.,0/1,derived,1 if year >= 2005.,Sect. 2.3,1,Simple pre/post split.
period,DiD period,Event-time period used for the staggered DiD dummies.,category,derived,"Mapped from year: baseline 2000-02, pre 2003-04, tsunami 2005, recovery 2006-08, postrec 2009-12.",Eq. (1); Table 2,recovery,Baseline 2000-02 is the omitted reference.
gdp_const_usd_m,Real GDP,"District real GDP excluding oil & gas, constant 2004 USD, millions.",million constant 2004 USD,outcome,Cumulated from the 1999 base level using the simulated gdp_growth series.,Sect. 2.1; Fig. 3,1342.5,Absolute scale chosen for realistic per-capita values.
gdp_growth,GDP growth rate,Annual growth rate of real GDP (log difference).,proportion/yr,outcome,"district_FE + year_FE + treated increment (city/rural, Table 7 col2) + Aceh-control spill-over + spatial & serial shocks + N(0,0.04) noise.",Table 2; Eq. (1),0.061; -0.034,Main dependent variable; NaN in 1999 and for Subulussalam 2003-2006.
population,Population,District population (persons).,persons,covariate,Cumulated from the 1999 base using pop_growth (flooded districts lose ~9.6% in 2005).,Sect. 4.4,214330,Drives the per-capita denominator.
pop_growth,Population growth,Annual population growth rate.,proportion/yr,derived,district_FE + year_FE + flooded x population increment (death shock 2005) + noise.,Sect. 4.4; Table 8,0.017; -0.082,NaN in 1999 and Subulussalam 2003-2006.
gdp_pc_usd,GDP per capita,"Real GDP per capita, constant 2004 USD.",constant 2004 USD,outcome,gdp_const_usd_m * 1e6 / population.,Table 8,1180.4,
gdp_pc_growth,GDP per-capita growth,Annual growth rate of real GDP per capita.,proportion/yr,outcome,gdp_growth - pop_growth (so it reproduces Table 8 by construction).,Table 8,0.044,No significant 2005 loss; significant 2006-08 gain. NaN where growth missing.
